day,solar (MW),wind (MW),load (MW),solar_forcast (MW),wind_forecast (MW),load_forecast (MW),price (EUR/MWh),emission factor (kg CO2/MWh)
1,19.0,3740.0,16037.0,328.0,3469.0,13663.0,102.5,145.00649273396
1,15.0,3683.0,16064.0,282.0,3430.0,13726.0,102.5,145.00649273396
1,14.0,3753.0,16069.0,237.0,3506.0,13719.0,102.5,145.00649273396
1,14.0,3824.0,16068.0,192.0,3585.0,13743.0,102.5,145.00649273396
1,13.0,3898.0,16039.0,146.0,3665.0,13928.0,110.6,146.02050185203998
1,13.0,3784.0,16012.0,140.0,3729.0,14165.0,110.6,146.02050185203998
1,10.0,3796.0,16043.0,129.0,3775.0,14332.0,110.6,146.02050185203998
1,7.0,3891.0,16043.0,123.0,3823.0,14435.0,110.6,146.02050185203998
1,5.0,3968.0,16083.0,115.0,3867.0,14459.0,105.7,140.57500660419
1,3.0,4070.0,16121.0,102.0,3903.0,14606.0,105.7,140.57500660419
1,1.0,4214.0,16216.0,88.0,3928.0,14666.0,105.7,140.57500660419
1,0.0,4220.0,16276.0,76.0,3955.0,14713.0,105.7,140.57500660419
1,0.0,4335.0,16355.0,65.0,3977.0,14770.0,100.7,138.19749653339
1,0.0,4547.0,16414.0,50.0,4082.0,14982.0,100.7,138.19749653339
1,0.0,4699.0,16536.0,34.0,4263.0,15096.0,100.7,138.19749653339
1,0.0,4773.0,16793.0,23.0,4443.0,15181.0,100.7,138.19749653339
1,0.0,4588.0,16942.0,8.0,4626.0,15274.0,118.93,125.10600686073
1,0.0,4170.0,17054.0,5.0,4780.0,15280.0,118.93,125.10600686073
1,0.0,4249.0,17115.0,4.0,4898.0,15399.0,118.93,125.10600686073
1,0.0,4429.0,17042.0,0.0,5021.0,15451.0,118.93,125.10600686073
1,0.0,4433.0,16743.0,0.0,5140.0,15351.0,81.3,124.60149824619
1,0.0,4392.0,16508.0,0.0,5223.0,15232.0,81.3,124.60149824619
1,0.0,4275.0,16348.0,0.0,5265.0,15094.0,81.3,124.60149824619
1,0.0,4259.0,16199.0,0.0,5308.0,14952.0,81.3,124.60149824619
1,0.0,4135.0,15982.0,0.0,5348.0,14755.0,70.1,134.77900624275
1,0.0,4060.0,15828.0,0.0,5392.0,14601.0,70.1,134.77900624275
1,0.0,4007.0,15641.0,0.0,5431.0,14479.0,70.1,134.77900624275
1,0.0,3879.0,15585.0,0.0,5474.0,14356.0,70.1,134.77900624275
1,0.0,3560.0,15272.0,0.0,5519.0,14117.0,66.7,127.19374895096
1,0.0,3581.0,15108.0,0.0,5556.0,13977.0,66.7,127.19374895096
1,0.0,3646.0,14948.0,0.0,5592.0,13852.0,66.7,127.19374895096
1,0.0,3656.0,14785.0,0.0,5627.0,13699.0,66.7,127.19374895096
1,0.0,3641.0,14532.0,0.0,5663.0,13457.0,54.9,126.08975172042999
1,0.0,3692.0,14395.0,0.0,5696.0,13282.0,54.9,126.08975172042999
1,0.0,3609.0,14222.0,0.0,5723.0,13147.0,54.9,126.08975172042999
1,0.0,3362.0,14011.0,0.0,5754.0,12998.0,54.9,126.08975172042999
1,0.0,3162.0,13728.0,0.0,5781.0,12729.0,53.18,123.03774803877
1,0.0,3296.0,13538.0,0.0,5799.0,12499.0,53.18,123.03774803877
1,0.0,3304.0,13347.0,0.0,5807.0,12373.0,53.18,123.03774803877
1,0.0,3219.0,13150.0,0.0,5817.0,12144.0,53.18,123.03774803877
1,0.0,3180.0,12883.0,0.0,5826.0,12012.0,54.9,113.23425173759
1,0.0,3269.0,12689.0,0.0,5833.0,11885.0,54.9,113.23425173759
1,0.0,3395.0,12525.0,0.0,5843.0,11772.0,54.9,113.23425173759
1,0.0,3427.0,12404.0,0.0,5853.0,11593.0,54.9,113.23425173759
2,0.0,2954.0,12305.0,0.0,5863.0,11403.0,-0.39,113.73475193977
2,0.0,2875.0,12042.0,0.0,5870.0,11494.0,-0.39,113.73475193977
2,0.0,2889.0,12000.0,0.0,5873.0,11366.0,-0.39,113.73475193977
2,0.0,2890.0,11936.0,0.0,5878.0,11220.0,-0.39,113.73475193977
2,0.0,2938.0,11658.0,0.0,5881.0,11079.0,-1.61,97.745351493359
2,0.0,3010.0,11587.0,0.0,5888.0,10966.0,-1.61,97.745351493359
2,0.0,3088.0,11586.0,0.0,5893.0,10876.0,-1.61,97.745351493359
2,0.0,3113.0,11561.0,0.0,5902.0,10752.0,-1.61,97.745351493359
2,0.0,3181.0,11439.0,0.0,5909.0,10648.0,-1.39,82.60215073823899
2,0.0,3198.0,11387.0,0.0,5912.0,10598.0,-1.39,82.60215073823899
2,0.0,3399.0,11394.0,0.0,5909.0,10572.0,-1.39,82.60215073823899
2,0.0,3481.0,11380.0,0.0,5908.0,10499.0,-1.39,82.60215073823899
2,0.0,3883.0,11420.0,0.0,5904.0,10427.0,-1.31,82.466848194599
2,0.0,4086.0,11450.0,0.0,5899.0,10420.0,-1.31,82.466848194599
2,0.0,4111.0,11363.0,0.0,5895.0,10389.0,-1.31,82.466848194599
2,0.0,4046.0,11299.0,0.0,5890.0,10341.0,-1.31,82.466848194599
2,0.0,4055.0,11309.0,0.0,5884.0,10326.0,-1.39,81.79335296154
2,0.0,4081.0,11310.0,0.0,5879.0,10343.0,-1.39,81.79335296154
2,0.0,4112.0,11362.0,0.0,5872.0,10321.0,-1.39,81.79335296154
2,0.0,4117.0,11405.0,0.0,5860.0,10322.0,-1.39,81.79335296154
2,0.0,4154.0,11562.0,0.0,5855.0,10358.0,-1.95,80.59607446193701
2,0.0,4166.0,11698.0,0.0,5845.0,10447.0,-1.95,80.59607446193701
2,0.0,4143.0,11832.0,0.0,5831.0,10533.0,-1.95,80.59607446193701
2,0.0,4201.0,11962.0,0.0,5817.0,10662.0,-1.95,80.59607446193701
2,0.0,4746.0,12397.0,0.0,5802.0,10865.0,1.05,85.20547300577199
2,0.0,5051.0,12724.0,0.0,5778.0,11188.0,1.05,85.20547300577199
2,0.0,5133.0,12984.0,0.0,5740.0,11408.0,1.05,85.20547300577199
2,0.0,5237.0,13271.0,0.0,5701.0,11602.0,1.05,85.20547300577199
2,0.0,5243.0,13705.0,0.0,5664.0,11847.0,40.63,92.979148030281
2,0.0,5212.0,14076.0,0.0,5635.0,12251.0,40.63,92.979148030281
2,0.0,5248.0,14441.0,0.0,5615.0,12626.0,40.63,92.979148030281
2,0.0,5355.0,14728.0,0.0,5593.0,12987.0,40.63,92.979148030281
2,0.0,5190.0,15197.0,0.0,5576.0,13328.0,68.3,93.24630349874501
2,0.0,5271.0,15419.0,0.0,5545.0,13660.0,68.3,93.24630349874501
2,0.0,5260.0,15641.0,0.0,5508.0,13882.0,68.3,93.24630349874501
2,0.0,5349.0,15819.0,0.0,5473.0,14043.0,68.3,93.24630349874501
2,2.0,5309.0,15934.0,0.0,5433.0,14086.0,75.9,90.549096465111
2,5.0,5298.0,16117.0,41.0,5397.0,14169.0,75.9,90.549096465111
2,8.0,5290.0,16140.0,80.0,5365.0,14169.0,75.9,90.549096465111
2,15.0,5263.0,16142.0,119.0,5329.0,14146.0,75.9,90.549096465111
2,26.0,5291.0,16115.0,158.0,5297.0,14119.0,73.2,84.20692384243
2,31.0,5282.0,16091.0,303.0,5287.0,14085.0,73.2,84.20692384243
2,35.0,5250.0,16009.0,447.0,5303.0,14018.0,73.2,84.20692384243
2,36.0,5289.0,15965.0,591.0,5316.0,13919.0,73.2,84.20692384243
2,35.0,5311.0,15897.0,736.0,5330.0,13824.0,69.2,80.253727734089
2,41.0,5282.0,15828.0,789.0,5344.0,13743.0,69.2,80.253727734089
2,45.0,5300.0,15805.0,841.0,5355.0,13633.0,69.2,80.253727734089
2,58.0,5302.0,15847.0,896.0,5366.0,13586.0,69.2,80.253727734089
2,56.0,5380.0,15903.0,949.0,5379.0,13531.0,60.0,80.925174057484
2,64.0,5410.0,15905.0,972.0,5385.0,13445.0,60.0,80.925174057484
2,51.0,5429.0,15835.0,998.0,5380.0,13513.0,60.0,80.925174057484
2,47.0,5390.0,15889.0,1021.0,5376.0,13482.0,60.0,80.925174057484
2,39.0,5437.0,15929.0,1044.0,5375.0,13483.0,58.86,87.248027324677
2,40.0,5398.0,15901.0,1016.0,5366.0,13517.0,58.86,87.248027324677
2,39.0,5268.0,15847.0,987.0,5351.0,13587.0,58.86,87.248027324677
2,32.0,5217.0,15819.0,956.0,5336.0,13682.0,58.86,87.248027324677
2,33.0,5145.0,15820.0,928.0,5324.0,13810.0,60.86,112.93599754572
2,24.0,5142.0,15890.0,891.0,5304.0,13815.0,60.86,112.93599754572
2,29.0,4989.0,15872.0,852.0,5278.0,13766.0,60.86,112.93599754572
2,26.0,4869.0,15965.0,813.0,5253.0,13794.0,60.86,112.93599754572
